text,label_numeric,label,cleaned_text,tokens
MOQHOBI O LIHA KOLOI KA COTHO EA JOALA,-1,negative,moqhobi o liha koloi ka cotho ea joala,"['moqhobi', 'o', 'liha', 'koloi', 'ka', 'cotho', 'ea', 'joala']"
MONNA O CHOATLILE LEHO TABOLA LIBUKA TSA BAKULI SEPETLELE KA LE RENG BAOKI BA BOLAILE NTAT'AE,-1,negative,monna o choatlile leho tabola libuka tsa bakuli sepetlele ka le reng baoki ba bolaile ntatae,"['monna', 'o', 'choatlile', 'leho', 'tabola', 'libuka', 'tsa', 'bakuli', 'sepetlele', 'ka', 'le', 'reng', 'baoki', 'ba', 'bolaile', 'ntatae']"
BANNA NTSE BA TSOELA PELE HO ITLONTLOLLA,-1,negative,banna ntse ba tsoela pele ho itlontlolla,"['banna', 'ntse', 'ba', 'tsoela', 'pele', 'ho', 'itlontlolla']"
BANNA BA NKELA E MONG MOSALI KA SETHUNYA,-1,negative,banna ba nkela e mong mosali ka sethunya,"['banna', 'ba', 'nkela', 'e', 'mong', 'mosali', 'ka', 'sethunya']"
LINOKOANE LI HLASELA BANKA,-1,negative,linokoane li hlasela banka,"['linokoane', 'li', 'hlasela', 'banka']"
MOSALI O NEHELA MOEA A NTSE A BETOA,-1,negative,mosali o nehela moea a ntse a betoa,"['mosali', 'o', 'nehela', 'moea', 'a', 'ntse', 'a', 'betoa']"
LEBONE LA TSOSOLOSO LE TLA POTOLOHA LE LITEREKE,1,positive,lebone la tsosoloso le tla potoloha le litereke,"['lebone', 'la', 'tsosoloso', 'le', 'tla', 'potoloha', 'le', 'litereke']"
MOKHATLO O THOPHOTHETSA THUTO KA TLHEKEFETSO,1,positive,mokhatlo o thophothetsa thuto ka tlhekefetso,"['mokhatlo', 'o', 'thophothetsa', 'thuto', 'ka', 'tlhekefetso']"
BAHOEBI BA LIKHOHO BA TŠOARA MOHOANTO,-1,negative,bahoebi ba likhoho ba toara mohoanto,"['bahoebi', 'ba', 'likhoho', 'ba', 'toara', 'mohoanto']"
MOLOI O TŠOAROA HOTELENG,-1,negative,moloi o toaroa hoteleng,"['moloi', 'o', 'toaroa', 'hoteleng']"
MONGA' SOMETHING KAOFELA O BATLA M3 MILIONE,-1,negative,monga something kaofela o batla m milione,"['monga', 'something', 'kaofela', 'o', 'batla', 'm', 'milione']"
MAPOLESA A THIBELOA HO EA JOALENG BOSIU,1,positive,mapolesa a thibeloa ho ea joaleng bosiu,"['mapolesa', 'a', 'thibeloa', 'ho', 'ea', 'joaleng', 'bosiu']"
SEPETLELE SE TSOA PUO KA NGAKA E QOSOANG KA PETO,1,positive,sepetlele se tsoa puo ka ngaka e qosoang ka peto,"['sepetlele', 'se', 'tsoa', 'puo', 'ka', 'ngaka', 'e', 'qosoang', 'ka', 'peto']"
SESOLE SE FANA KA THUTO E MATLA SEKOLONG,1,positive,sesole se fana ka thuto e matla sekolong,"['sesole', 'se', 'fana', 'ka', 'thuto', 'e', 'matla', 'sekolong']"
BARUI BA LIKHOHO BA HOANTELA TONAKHOLO,-1,negative,barui ba likhoho ba hoantela tonakholo,"['barui', 'ba', 'likhoho', 'ba', 'hoantela', 'tonakholo']"
BACHA BA MOKHA OA POLOTIKI BA RE MOLAO O MASOBA,-1,negative,bacha ba mokha oa polotiki ba re molao o masoba,"['bacha', 'ba', 'mokha', 'oa', 'polotiki', 'ba', 're', 'molao', 'o', 'masoba']"
OFISIRI EA 'MUSO KHOTLA KA TJOTJO,-1,negative,ofisiri ea muso khotla ka tjotjo,"['ofisiri', 'ea', 'muso', 'khotla', 'ka', 'tjotjo']"
SENOKOANE SE AHLOLOA LILEMO TSE 54,1,positive,senokoane se ahloloa lilemo tse,"['senokoane', 'se', 'ahloloa', 'lilemo', 'tse']"
MAIKUTLO A SESOLE KA THIBELO EA MOLAOLI HO FANA KA THUTO SEKOLONG,-1,negative,maikutlo a sesole ka thibelo ea molaoli ho fana ka thuto sekolong,"['maikutlo', 'a', 'sesole', 'ka', 'thibelo', 'ea', 'molaoli', 'ho', 'fana', 'ka', 'thuto', 'sekolong']"
LEKHOTLA LE LAELA SEPOLESA HO PHENYEKOLLA HA MOPARAMENTE,1,positive,lekhotla le laela sepolesa ho phenyekolla ha moparamente,"['lekhotla', 'le', 'laela', 'sepolesa', 'ho', 'phenyekolla', 'ha', 'moparamente']"
MOHLANKA OA LEKALA O TŠOEROE,-1,negative,mohlanka oa lekala o toeroe,"['mohlanka', 'oa', 'lekala', 'o', 'toeroe']"
MOSALI KOETELA LESOLE,-1,negative,mosali koetela lesole,"['mosali', 'koetela', 'lesole']"
SETSI SE KOALA SEEA-LE-MOEA,-1,negative,setsi se koala seealemoea,"['setsi', 'se', 'koala', 'seealemoea']"
LETONA LA MEHLENG LE QOSOA KA LESHANO,-1,negative,letona la mehleng le qosoa ka leshano,"['letona', 'la', 'mehleng', 'le', 'qosoa', 'ka', 'leshano']"
MOETAPELE O HLAHISA LITSIETSI TSE TOBILENG SECHABA,-1,negative,moetapele o hlahisa litsietsi tse tobileng sechaba,"['moetapele', 'o', 'hlahisa', 'litsietsi', 'tse', 'tobileng', 'sechaba']"
KOMPONE EA MARANGRANG E QOSOA KA HO SEBELISA FITIEO EA MONNA,-1,negative,kompone ea marangrang e qosoa ka ho sebelisa fitieo ea monna,"['kompone', 'ea', 'marangrang', 'e', 'qosoa', 'ka', 'ho', 'sebelisa', 'fitieo', 'ea', 'monna']"
PAKI EA PELE NYEOENG EA POLAO E FANA KA BOPAKI,-1,negative,paki ea pele nyeoeng ea polao e fana ka bopaki,"['paki', 'ea', 'pele', 'nyeoeng', 'ea', 'polao', 'e', 'fana', 'ka', 'bopaki']"
MASOLE A HLAHA KA LIMAKATSO KHOTLA,0,neutral,masole a hlaha ka limakatso khotla,"['masole', 'a', 'hlaha', 'ka', 'limakatso', 'khotla']"
BABELAELLOA POLAONG BA KHOTLA,-1,negative,babelaelloa polaong ba khotla,"['babelaelloa', 'polaong', 'ba', 'khotla']"
LESOLE LE FANA KA BOPAKI NYEOENG EA NYATSI,-1,negative,lesole le fana ka bopaki nyeoeng ea nyatsi,"['lesole', 'le', 'fana', 'ka', 'bopaki', 'nyeoeng', 'ea', 'nyatsi']"
MOKHATLO O KETEKA LETSATSI LA LEFATŠE LA BANA,1,positive,mokhatlo o keteka letsatsi la lefate la bana,"['mokhatlo', 'o', 'keteka', 'letsatsi', 'la', 'lefate', 'la', 'bana']"
LETONA LA MEHLENG LE HLOLOA HO LEFA SEKOLOTO,-1,negative,letona la mehleng le hloloa ho lefa sekoloto,"['letona', 'la', 'mehleng', 'le', 'hloloa', 'ho', 'lefa', 'sekoloto']"
MOTSOALI O PHETA LITABA TSE SISIMOSANG KA MORALI OA HAE,-1,negative,motsoali o pheta litaba tse sisimosang ka morali oa hae,"['motsoali', 'o', 'pheta', 'litaba', 'tse', 'sisimosang', 'ka', 'morali', 'oa', 'hae']"
MOSALI O AHLOLOA LILEMO TSE HLANO KA HO NTŠA MPA,-1,negative,mosali o ahloloa lilemo tse hlano ka ho nta mpa,"['mosali', 'o', 'ahloloa', 'lilemo', 'tse', 'hlano', 'ka', 'ho', 'nta', 'mpa']"
MACHAENA A QOSOA KA HO HLASELA 'MOSHARA LE HO UTSOA LITHUNYA,-1,negative,machaena a qosoa ka ho hlasela moshara le ho utsoa lithunya,"['machaena', 'a', 'qosoa', 'ka', 'ho', 'hlasela', 'moshara', 'le', 'ho', 'utsoa', 'lithunya']"
'MUSO O THAKHOLA TŠEBETSO EA HO RULELA MATLO A FEFOHILENG,1,positive,muso o thakhola tebetso ea ho rulela matlo a fefohileng,"['muso', 'o', 'thakhola', 'tebetso', 'ea', 'ho', 'rulela', 'matlo', 'a', 'fefohileng']"
NTLO EA PUSO E KHOTHALETSA PHETISO EA TLHOPHO BOCHA,1,positive,ntlo ea puso e khothaletsa phetiso ea tlhopho bocha,"['ntlo', 'ea', 'puso', 'e', 'khothaletsa', 'phetiso', 'ea', 'tlhopho', 'bocha']"
MATICHERE A FANYEHA MOHOANTO,1,positive,matichere a fanyeha mohoanto,"['matichere', 'a', 'fanyeha', 'mohoanto']"
BOPAKI BO HAROLANG POLAONG EA MOK'HANSELARA,-1,negative,bopaki bo harolang polaong ea mokhanselara,"['bopaki', 'bo', 'harolang', 'polaong', 'ea', 'mokhanselara']"
MATICHERE A HOANTELA TONAKHOLO LABORARO,-1,negative,matichere a hoantela tonakholo laboraro,"['matichere', 'a', 'hoantela', 'tonakholo', 'laboraro']"
MOSALI O QOSA MOKHA HAPE,-1,negative,mosali o qosa mokha hape,"['mosali', 'o', 'qosa', 'mokha', 'hape']"
CHELETE E UTSUOENG E EA FUMANOA,1,positive,chelete e utsuoeng e ea fumanoa,"['chelete', 'e', 'utsuoeng', 'e', 'ea', 'fumanoa']"
'MUSO O PHALLELA SECHABA,1,positive,muso o phallela sechaba,"['muso', 'o', 'phallela', 'sechaba']"
LEKHOTLA LA MATONA LEA ATOLOSOA,1,positive,lekhotla la matona lea atolosoa,"['lekhotla', 'la', 'matona', 'lea', 'atolosoa']"
LEKHOTLA LE HLAKOLA TŠOARO EA MOPARAMENTE,1,positive,lekhotla le hlakola toaro ea moparamente,"['lekhotla', 'le', 'hlakola', 'toaro', 'ea', 'moparamente']"
LETOFE LE FETOLA MAOA,0,neutral,letofe le fetola maoa,"['letofe', 'le', 'fetola', 'maoa']"
MONNA O AHLOLOA LILEMO TSE 20 KA HO SELAKHA MOTHO,-1,negative,monna o ahloloa lilemo tse ka ho selakha motho,"['monna', 'o', 'ahloloa', 'lilemo', 'tse', 'ka', 'ho', 'selakha', 'motho']"
MOPARAMENTE O TSOA PUO KA TŠOARO EA HAE,1,positive,moparamente o tsoa puo ka toaro ea hae,"['moparamente', 'o', 'tsoa', 'puo', 'ka', 'toaro', 'ea', 'hae']"
LEPOLESA LE TORONKELA HO BOLAEA MOTHO,-1,negative,lepolesa le toronkela ho bolaea motho,"['lepolesa', 'le', 'toronkela', 'ho', 'bolaea', 'motho']"
LITJEO TSA LIKOLOI TSA SEPOLESA LIA HLALOSOA,1,positive,litjeo tsa likoloi tsa sepolesa lia hlalosoa,"['litjeo', 'tsa', 'likoloi', 'tsa', 'sepolesa', 'lia', 'hlalosoa']"
BANNA BA HLAHA KHOTLA KA BOSHOLU,-1,negative,banna ba hlaha khotla ka bosholu,"['banna', 'ba', 'hlaha', 'khotla', 'ka', 'bosholu']"
TLALEHO EA SEPOLESA KA LEFU LA MOSALI,-1,negative,tlaleho ea sepolesa ka lefu la mosali,"['tlaleho', 'ea', 'sepolesa', 'ka', 'lefu', 'la', 'mosali']"
'MUSO O PHATLATSA SELEKANE SE SECHA,1,positive,muso o phatlatsa selekane se secha,"['muso', 'o', 'phatlatsa', 'selekane', 'se', 'secha']"
NYEOE EA BOBELI EA HO THIBELA MOPARAMENTE HO BA TONAKHOLO,-1,negative,nyeoe ea bobeli ea ho thibela moparamente ho ba tonakholo,"['nyeoe', 'ea', 'bobeli', 'ea', 'ho', 'thibela', 'moparamente', 'ho', 'ba', 'tonakholo']"
BOIPELAETSO KHAHLANONG LE HO KETOLOA HOA 'MUSO,1,positive,boipelaetso khahlanong le ho ketoloa hoa muso,"['boipelaetso', 'khahlanong', 'le', 'ho', 'ketoloa', 'hoa', 'muso']"
'MUSO O MATHELA SADC,1,positive,muso o mathela sadc,"['muso', 'o', 'mathela', 'sadc']"
LITHO TSA MOKHA LI HANA KAHLOLO,-1,negative,litho tsa mokha li hana kahlolo,"['litho', 'tsa', 'mokha', 'li', 'hana', 'kahlolo']"
BATHO BA 4 BA LO BOLLA TERONKONG,-1,negative,batho ba ba lo bolla teronkong,"['batho', 'ba', 'ba', 'lo', 'bolla', 'teronkong']"
MONAMOLI O SIBOLLA MASISA-PELO,-1,negative,monamoli o sibolla masisapelo,"['monamoli', 'o', 'sibolla', 'masisapelo']"
'MUSO O NEHELANA KA LIKOLOI HO SEPOLESA,1,positive,muso o nehelana ka likoloi ho sepolesa,"['muso', 'o', 'nehelana', 'ka', 'likoloi', 'ho', 'sepolesa']"
MOPAMENTE O MATJALENG,-1,negative,mopamente o matjaleng,"['mopamente', 'o', 'matjaleng']"
MAPOLESA A MABELI A TEBETSOE,-1,negative,mapolesa a mabeli a tebetsoe,"['mapolesa', 'a', 'mabeli', 'a', 'tebetsoe']"
MOKHA O MO LAHLELA TERONKONG LEMO TSE 12,-1,negative,mokha o mo lahlela teronkong lemo tse,"['mokha', 'o', 'mo', 'lahlela', 'teronkong', 'lemo', 'tse']"
LEKHOTLA LE AHLOLELA MOKHA NAKOANA,1,positive,lekhotla le ahlolela mokha nakoana,"['lekhotla', 'le', 'ahlolela', 'mokha', 'nakoana']"
BABUSI BA MEHLENG BA MAKALLA TONAKHOLO,-1,negative,babusi ba mehleng ba makalla tonakholo,"['babusi', 'ba', 'mehleng', 'ba', 'makalla', 'tonakholo']"
LETONA LE PHATLALATSA TABA EA LIPEO LE MANYOLO,0,neutral,letona le phatlalatsa taba ea lipeo le manyolo,"['letona', 'le', 'phatlalatsa', 'taba', 'ea', 'lipeo', 'le', 'manyolo']"
'MUSO O THIBELA HO KENA HOA LIKHOHO MALIBOHONG,-1,negative,muso o thibela ho kena hoa likhoho malibohong,"['muso', 'o', 'thibela', 'ho', 'kena', 'hoa', 'likhoho', 'malibohong']"
NYEOE EA TŠITŠINYO EA TŠEPO E EA MAMELOA,1,positive,nyeoe ea titinyo ea tepo e ea mameloa,"['nyeoe', 'ea', 'titinyo', 'ea', 'tepo', 'e', 'ea', 'mameloa']"
MOPARAMENTE O ITOKOLLA PARAMENTENG,-1,negative,moparamente o itokolla paramenteng,"['moparamente', 'o', 'itokolla', 'paramenteng']"
MORENA O PHURA LESHOETLA LE MOPAPA,0,neutral,morena o phura leshoetla le mopapa,"['morena', 'o', 'phura', 'leshoetla', 'le', 'mopapa']"
'MUSO O BOLOKA BAFU BA 29,-1,negative,muso o boloka bafu ba,"['muso', 'o', 'boloka', 'bafu', 'ba']"
MOPARAMENTE O FUPUTSOA KA LIPELAELLO TSE THARO,-1,negative,moparamente o fuputsoa ka lipelaello tse tharo,"['moparamente', 'o', 'fuputsoa', 'ka', 'lipelaello', 'tse', 'tharo']"
SESOSA SA TŠOARO EA MOPARAMENTE SEA HLAHELLA,-1,negative,sesosa sa toaro ea moparamente sea hlahella,"['sesosa', 'sa', 'toaro', 'ea', 'moparamente', 'sea', 'hlahella']"
PARAMENTE E TŠOHLA TŠOARO EA MOPARAMNTE,1,positive,paramente e tohla toaro ea moparamnte,"['paramente', 'e', 'tohla', 'toaro', 'ea', 'moparamnte']"
BACHA BARE TŠITŠINYO EA MOPARAMENTE E KA THOKO HO MOLAO,-1,negative,bacha bare titinyo ea moparamente e ka thoko ho molao,"['bacha', 'bare', 'titinyo', 'ea', 'moparamente', 'e', 'ka', 'thoko', 'ho', 'molao']"
MOPOLOTIKI O RE 'MUSO ONA LE LIPALO TSE LEKANENG HO BUSA,1,positive,mopolotiki o re muso ona le lipalo tse lekaneng ho busa,"['mopolotiki', 'o', 're', 'muso', 'ona', 'le', 'lipalo', 'tse', 'lekaneng', 'ho', 'busa']"
MEKHATLO E KHALEMELA MAFAPHA A TŠIRELETSO,1,positive,mekhatlo e khalemela mafapha a tireletso,"['mekhatlo', 'e', 'khalemela', 'mafapha', 'a', 'tireletso']"
MAFAPHA A TŠIRELETSO A NKILE 'MUSO,-1,negative,mafapha a tireletso a nkile muso,"['mafapha', 'a', 'tireletso', 'a', 'nkile', 'muso']"
TŠITŠINYO EA HO HLOKA TŠEPO E SITOA HO TSOELA PELE,-1,negative,titinyo ea ho hloka tepo e sitoa ho tsoela pele,"['titinyo', 'ea', 'ho', 'hloka', 'tepo', 'e', 'sitoa', 'ho', 'tsoela', 'pele']"
MOKHETHOA O THIBELA TŠITŠINYO EA HO LIA TONAKHOLO,1,positive,mokhethoa o thibela titinyo ea ho lia tonakholo,"['mokhethoa', 'o', 'thibela', 'titinyo', 'ea', 'ho', 'lia', 'tonakholo']"
'MOLAI OA MOPARAMTE OA MEHLENG O HLALOSA SE ETSAHETSENG HA A TLA MO BOLAEA,-1,negative,molai oa moparamte oa mehleng o hlalosa se etsahetseng ha a tla mo bolaea,"['molai', 'oa', 'moparamte', 'oa', 'mehleng', 'o', 'hlalosa', 'se', 'etsahetseng', 'ha', 'a', 'tla', 'mo', 'bolaea']"
TSEBISO E POTLAKILENG,0,neutral,tsebiso e potlakileng,"['tsebiso', 'e', 'potlakileng']"
MASHOLU A UTSOA SEKOLONG SA 'MUSO,-1,negative,masholu a utsoa sekolong sa muso,"['masholu', 'a', 'utsoa', 'sekolong', 'sa', 'muso']"
'MOLAI OA MOPARAMENTE OA MEHLENG O HLAHA KHOTLA,-1,negative,molai oa moparamente oa mehleng o hlaha khotla,"['molai', 'oa', 'moparamente', 'oa', 'mehleng', 'o', 'hlaha', 'khotla']"
KOMPONE EA MARANGRANG E THAKHOLA SETLABOCHA,1,positive,kompone ea marangrang e thakhola setlabocha,"['kompone', 'ea', 'marangrang', 'e', 'thakhola', 'setlabocha']"
MOKHATLO O RE SETSI SE PHENYE MONNA MAHAFI,-1,negative,mokhatlo o re setsi se phenye monna mahafi,"['mokhatlo', 'o', 're', 'setsi', 'se', 'phenye', 'monna', 'mahafi']"
RE NTSE RE LE LITHO TSA MOKHA,1,positive,re ntse re le litho tsa mokha,"['re', 'ntse', 're', 'le', 'litho', 'tsa', 'mokha']"
KOMPONE EA MARANGRANG E BEBOFATSA KAMOHELO EA CHELETE HO TSOA KANTLE HO NAHA,1,positive,kompone ea marangrang e bebofatsa kamohelo ea chelete ho tsoa kantle ho naha,"['kompone', 'ea', 'marangrang', 'e', 'bebofatsa', 'kamohelo', 'ea', 'chelete', 'ho', 'tsoa', 'kantle', 'ho', 'naha']"
MOLISANA O AHLOLOA HO HLOLA BOPHELO BOHLE CHANKANENG,-1,negative,molisana o ahloloa ho hlola bophelo bohle chankaneng,"['molisana', 'o', 'ahloloa', 'ho', 'hlola', 'bophelo', 'bohle', 'chankaneng']"
LEPOLESA LE QOSOA KA POLAO EA MOTHO,-1,negative,lepolesa le qosoa ka polao ea motho,"['lepolesa', 'le', 'qosoa', 'ka', 'polao', 'ea', 'motho']"
BABELAELLOA BA QOSOA KA HO UTSOA MATSEBETSEBE A 'MUSO,-1,negative,babelaelloa ba qosoa ka ho utsoa matsebetsebe a muso,"['babelaelloa', 'ba', 'qosoa', 'ka', 'ho', 'utsoa', 'matsebetsebe', 'a', 'muso']"
NAHA LE TIISA LEANO LA TŠIRELETSO EA BOQAPI,1,positive,naha le tiisa leano la tireletso ea boqapi,"['naha', 'le', 'tiisa', 'leano', 'la', 'tireletso', 'ea', 'boqapi']"
MOKHATLO O FANA KA TLALEHO EA TŠEBETSO,1,positive,mokhatlo o fana ka tlaleho ea tebetso,"['mokhatlo', 'o', 'fana', 'ka', 'tlaleho', 'ea', 'tebetso']"
HO BOLAUOE MOTHO HAPE,-1,negative,ho bolauoe motho hape,"['ho', 'bolauoe', 'motho', 'hape']"
BATHO BA KHETHILE KA MONYEBE,-1,negative,batho ba khethile ka monyebe,"['batho', 'ba', 'khethile', 'ka', 'monyebe']"
MOPOLOTIKI O PHAHLOLA MERERO EA TONAKHOLO EA SEKHUKHU,1,positive,mopolotiki o phahlola merero ea tonakholo ea sekhukhu,"['mopolotiki', 'o', 'phahlola', 'merero', 'ea', 'tonakholo', 'ea', 'sekhukhu']"
'MELAELLOA POLAONG EA SEBOHOLI O HANELOA KA BEILI,1,positive,melaelloa polaong ea seboholi o haneloa ka beili,"['melaelloa', 'polaong', 'ea', 'seboholi', 'o', 'haneloa', 'ka', 'beili']"
MAPOLESA A THIBELA MONNA LEKHOTLENG,-1,negative,mapolesa a thibela monna lekhotleng,"['mapolesa', 'a', 'thibela', 'monna', 'lekhotleng']"
NGOANANA O TSEKA LEFA LA NTATAE A SA NYALA 'M'AE,-1,negative,ngoanana o tseka lefa la ntatae a sa nyala mae,"['ngoanana', 'o', 'tseka', 'lefa', 'la', 'ntatae', 'a', 'sa', 'nyala', 'mae']"
MOKHATLO O THAKHOLA BOITUKISO LIKOLUOENG,1,positive,mokhatlo o thakhola boitukiso likoluoeng,"['mokhatlo', 'o', 'thakhola', 'boitukiso', 'likoluoeng']"
MOKHATLO O TŠOELA KA MATHE LIKHOBOSO TSA LENYALO LA MOSALI,1,positive,mokhatlo o toela ka mathe likhoboso tsa lenyalo la mosali,"['mokhatlo', 'o', 'toela', 'ka', 'mathe', 'likhoboso', 'tsa', 'lenyalo', 'la', 'mosali']"
MONNA O QOSOA KA HO TLEPETSA MOKHETHOA KA MAJOE,-1,negative,monna o qosoa ka ho tlepetsa mokhethoa ka majoe,"['monna', 'o', 'qosoa', 'ka', 'ho', 'tlepetsa', 'mokhethoa', 'ka', 'majoe']"
MONNA O BATLA HO LIA 'MUSO KHOTLA,-1,negative,monna o batla ho lia muso khotla,"['monna', 'o', 'batla', 'ho', 'lia', 'muso', 'khotla']"
KOMPONE EA LITAEMANE E NTŠA PUO KA TLHEKEFETSO EA MOSALI,1,positive,kompone ea litaemane e nta puo ka tlhekefetso ea mosali,"['kompone', 'ea', 'litaemane', 'e', 'nta', 'puo', 'ka', 'tlhekefetso', 'ea', 'mosali']"
BATHO BA OELA HANONG LA TAU,-1,negative,batho ba oela hanong la tau,"['batho', 'ba', 'oela', 'hanong', 'la', 'tau']"
'MUSO O NYEHLISA LEKHETHO LA JOALA LE KOAE,1,positive,muso o nyehlisa lekhetho la joala le koae,"['muso', 'o', 'nyehlisa', 'lekhetho', 'la', 'joala', 'le', 'koae']"
MONNA O QOSA KOMITI EA MOKHA,-1,negative,monna o qosa komiti ea mokha,"['monna', 'o', 'qosa', 'komiti', 'ea', 'mokha']"
MOSALI O OA NYALA,1,positive,mosali o oa nyala,"['mosali', 'o', 'oa', 'nyala']"
MORA O BOLAEA LE HO CHESA 'M'AE,-1,negative,mora o bolaea le ho chesa mae,"['mora', 'o', 'bolaea', 'le', 'ho', 'chesa', 'mae']"
NTOA EA MARENA E EA LOELA,-1,negative,ntoa ea marena e ea loela,"['ntoa', 'ea', 'marena', 'e', 'ea', 'loela']"
KE HLOLOA HOBA LE BANA,-1,negative,ke hloloa hoba le bana,"['ke', 'hloloa', 'hoba', 'le', 'bana']"
MONNA OA KA O JOLANA LE BAPOROFETA BA BASALI,-1,negative,monna oa ka o jolana le baporofeta ba basali,"['monna', 'oa', 'ka', 'o', 'jolana', 'le', 'baporofeta', 'ba', 'basali']"
BASEBETSI BA LIFEME BA NYOLLELOA KA 6.5%,1,positive,basebetsi ba lifeme ba nyolleloa ka,"['basebetsi', 'ba', 'lifeme', 'ba', 'nyolleloa', 'ka']"
MOSALI O RUTA NGOANA HO ETSA THOBALANO,-1,negative,mosali o ruta ngoana ho etsa thobalano,"['mosali', 'o', 'ruta', 'ngoana', 'ho', 'etsa', 'thobalano']"
MONNA OA KA O RE MAFELO A BEKE EENA KE MOFE SEBAKA LE MOSALI EA ENTSENG NGOANA LE ENA,-1,negative,monna oa ka o re mafelo a beke eena ke mofe sebaka le mosali ea entseng ngoana le ena,"['monna', 'oa', 'ka', 'o', 're', 'mafelo', 'a', 'beke', 'eena', 'ke', 'mofe', 'sebaka', 'le', 'mosali', 'ea', 'entseng', 'ngoana', 'le', 'ena']"
POLELO EA BORABELE E NGALISA BOPHATLALATSI TŠEBETSO,-1,negative,polelo ea borabele e ngalisa bophatlalatsi tebetso,"['polelo', 'ea', 'borabele', 'e', 'ngalisa', 'bophatlalatsi', 'tebetso']"
MOKHETHOA O UTSOETSA SECHABA,-1,negative,mokhethoa o utsoetsa sechaba,"['mokhethoa', 'o', 'utsoetsa', 'sechaba']"
BARUTI BA IKAKHETSE KA HARA SESOLE HAPE HISTORI E EA IPHETA,-1,negative,baruti ba ikakhetse ka hara sesole hape histori e ea ipheta,"['baruti', 'ba', 'ikakhetse', 'ka', 'hara', 'sesole', 'hape', 'histori', 'e', 'ea', 'ipheta']"
LITICHERE LI LLA SEBOKO SA PHOHOMELA,-1,negative,litichere li lla seboko sa phohomela,"['litichere', 'li', 'lla', 'seboko', 'sa', 'phohomela']"
UTLOA SEALUMA SE HLAHILENG MOTSENG,-1,negative,utloa sealuma se hlahileng motseng,"['utloa', 'sealuma', 'se', 'hlahileng', 'motseng']"
MOOKAMELI  KE MOFEREKANYI EA LESHANO,-1,negative,mookameli ke moferekanyi ea leshano,"['mookameli', 'ke', 'moferekanyi', 'ea', 'leshano']"
UTLOA LITABA TSE ETSAHETSENG TOROPONG,0,neutral,utloa litaba tse etsahetseng toropong,"['utloa', 'litaba', 'tse', 'etsahetseng', 'toropong']"
MOHATSA OA MOPORESITENTE O LLELOA KE LITŠEPE,-1,negative,mohatsa oa moporesitente o lleloa ke litepe,"['mohatsa', 'oa', 'moporesitente', 'o', 'lleloa', 'ke', 'litepe']"
HO HOBE HO MASHOLU,-1,negative,ho hobe ho masholu,"['ho', 'hobe', 'ho', 'masholu']"
MAPOLESA A  BOLAILE LINOKOANE TSE 18,-1,negative,mapolesa a bolaile linokoane tse,"['mapolesa', 'a', 'bolaile', 'linokoane', 'tse']"
MASOLE A KETOLA 'MUSO,-1,negative,masole a ketola muso,"['masole', 'a', 'ketola', 'muso']"
MONGOLI O THEHA MOKHA O MOCHA,0,neutral,mongoli o theha mokha o mocha,"['mongoli', 'o', 'theha', 'mokha', 'o', 'mocha']"
MOOKAMELI  O OELOA KE KOLUOA,-1,negative,mookameli o oeloa ke koluoa,"['mookameli', 'o', 'oeloa', 'ke', 'koluoa']"
TONAKHOLO EA MEHLENG O NE A BUSA JOALO KA CHAKA,-1,negative,tonakholo ea mehleng o ne a busa joalo ka chaka,"['tonakholo', 'ea', 'mehleng', 'o', 'ne', 'a', 'busa', 'joalo', 'ka', 'chaka']"
BANKA E TSEKA HORE BATHO BA JANE MAOTOANA,-1,negative,banka e tseka hore batho ba jane maotoana,"['banka', 'e', 'tseka', 'hore', 'batho', 'ba', 'jane', 'maotoana']"
MATOETOE O MAKATSA BASEBETSI BA LEKALA,0,neutral,matoetoe o makatsa basebetsi ba lekala,"['matoetoe', 'o', 'makatsa', 'basebetsi', 'ba', 'lekala']"
MAPOLESA A SETEREKENG A BOLAELA MOTHO LITLAMONG,-1,negative,mapolesa a seterekeng a bolaela motho litlamong,"['mapolesa', 'a', 'seterekeng', 'a', 'bolaela', 'motho', 'litlamong']"
LITHUNYA LI NYAMELA MOTEBONG OA SEPOLESA,-1,negative,lithunya li nyamela motebong oa sepolesa,"['lithunya', 'li', 'nyamela', 'motebong', 'oa', 'sepolesa']"
TSEBA KA SENONNORI SA MOLATA SE KA HOLIMO HO MOLAO,-1,negative,tseba ka senonnori sa molata se ka holimo ho molao,"['tseba', 'ka', 'senonnori', 'sa', 'molata', 'se', 'ka', 'holimo', 'ho', 'molao']"
NAHA E ROHAKEHILE,-1,negative,naha e rohakehile,"['naha', 'e', 'rohakehile']"
MOOKAMELI O NGALA LIPOTSONG,-1,negative,mookameli o ngala lipotsong,"['mookameli', 'o', 'ngala', 'lipotsong']"
BAAHLOLI BA BEHELLOA KA THOKO HO MOSEBETSI,-1,negative,baahloli ba behelloa ka thoko ho mosebetsi,"['baahloli', 'ba', 'behelloa', 'ka', 'thoko', 'ho', 'mosebetsi']"
LESELINYANA LE LEBOHELA MASOLE,1,positive,leselinyana le lebohela masole,"['leselinyana', 'le', 'lebohela', 'masole']"
NYA MATSETE MOETAPELE HO ILENG KE NAKO,-1,negative,nya matsete moetapele ho ileng ke nako,"['nya', 'matsete', 'moetapele', 'ho', 'ileng', 'ke', 'nako']"
