tweet,label,sentiment,cleaned_text,tokens,sentence_length
"porras ya, swi tá gama hi merda",negative,Negative,porras ya swi tá gama hi merda,"['porras', 'ya', 'swi', 'tá', 'gama', 'hi', 'merda']",7
Bom rapper. A gama ku biwa 😭,negative,Negative,bom rapper a gama ku biwa 😭,"['bom', 'rapper', 'a', 'gama', 'ku', 'biwa', '😭']",7
@user Xô lava kunha só! Mara WA XI lumbeta,negative,Negative,xô lava kunha só mara wa xi lumbeta,"['xô', 'lava', 'kunha', 'só', 'mara', 'wa', 'xi', 'lumbeta']",8
Fotos do IDAI tsika ku hi hembela https://t.co/YtQx0NpflH,negative,Negative,fotos do idai tsika ku hi hembela,"['fotos', 'do', 'idai', 'tsika', 'ku', 'hi', 'hembela']",7
@user Ku biya kwaku😂😂,negative,Negative,ku biya kwaku😂😂,"['ku', 'biya', 'kwaku😂😂']",3
Nem é WOW... kasi a ni ya kwini,negative,Negative,nem é wow kasi a ni ya kwini,"['nem', 'é', 'wow', 'kasi', 'a', 'ni', 'ya', 'kwini']",8
Matximba yaku ingui swa mahala 🚮🚶🏾🍃 https://t.co/6FfdNrx1pp,negative,Negative,matximba yaku ingui swa mahala 🚮🚶🏾🍃,"['matximba', 'yaku', 'ingui', 'swa', 'mahala', '🚮🚶🏾🍃']",6
@user Wa biwa wene,negative,Negative,wa biwa wene,"['wa', 'biwa', 'wene']",3
@user he Ningoss ani voni ku biha loku hiya hala ka Twitter na whtspp mara ka facebook swibihini. Niri Khombomuni-Mozambique,negative,Negative,he ningoss ani voni ku biha loku hiya hala ka twitter na whtspp mara ka facebook swibihini niri khombomunimozambique,"['he', 'ningoss', 'ani', 'voni', 'ku', 'biha', 'loku', 'hiya', 'hala', 'ka', 'twitter', 'na', 'whtspp', 'mara', 'ka', 'facebook', 'swibihini', 'niri', 'khombomunimozambique']",19
@user hiiiiiiii wa ni xicha :-(,negative,Negative,hiiiiiiii wa ni xicha,"['hiiiiiiii', 'wa', 'ni', 'xicha']",4
Hawena hinga ni tsika pah https://t.co/RM9k5zuWsn,negative,Negative,hawena hinga ni tsika pah,"['hawena', 'hinga', 'ni', 'tsika', 'pah']",5
"@user epa, a swi dare",negative,Negative,epa a swi dare,"['epa', 'a', 'swi', 'dare']",4
Utwa mbangui wena https://t.co/ER3oeSGkBJ,negative,Negative,utwa mbangui wena,"['utwa', 'mbangui', 'wena']",3
@user Ina ku jika jika ntsena,negative,Negative,ina ku jika jika ntsena,"['ina', 'ku', 'jika', 'jika', 'ntsena']",5
Ni ta ku ronha gotwana... 🎶,negative,Negative,ni ta ku ronha gotwana 🎶,"['ni', 'ta', 'ku', 'ronha', 'gotwana', '🎶']",6
@user ni khome buti @user,negative,Negative,ni khome buti,"['ni', 'khome', 'buti']",3
@user sister lowi hikuya himina angatekiwange end ana vana vanarho va papa vo habana end angangeni kereka nabiya wa phuza,negative,Negative,sister lowi hikuya himina angatekiwange end ana vana vanarho va papa vo habana end angangeni kereka nabiya wa phuza,"['sister', 'lowi', 'hikuya', 'himina', 'angatekiwange', 'end', 'ana', 'vana', 'vanarho', 'va', 'papa', 'vo', 'habana', 'end', 'angangeni', 'kereka', 'nabiya', 'wa', 'phuza']",19
A vavasati ya tswira a tibi bem hi nhloko http://t.co/aoShU99c7f,negative,Negative,a vavasati ya tswira a tibi bem hi nhloko,"['a', 'vavasati', 'ya', 'tswira', 'a', 'tibi', 'bem', 'hi', 'nhloko']",9
@user rixile vha haxi leswi ningakaswona namuntlha swivhavha ngopfo 😭 aswihambananga no bhukela a T V yokala yinga vulavuli ka xiphemu lexo sungula nita muvhona kola ka twiter @user @user @user,negative,Negative,rixile vha haxi leswi ningakaswona namuntlha swivhavha ngopfo 😭 aswihambananga no bhukela a t v yokala yinga vulavuli ka xiphemu lexo sungula nita muvhona kola ka twiter,"['rixile', 'vha', 'haxi', 'leswi', 'ningakaswona', 'namuntlha', 'swivhavha', 'ngopfo', '😭', 'aswihambananga', 'no', 'bhukela', 'a', 't', 'v', 'yokala', 'yinga', 'vulavuli', 'ka', 'xiphemu', 'lexo', 'sungula', 'nita', 'muvhona', 'kola', 'ka', 'twiter']",27
Tivha yini hi paixao wenaa https://t.co/7tX3hRbQSn,negative,Negative,tivha yini hi paixao wenaa,"['tivha', 'yini', 'hi', 'paixao', 'wenaa']",5
@user Oh Ok xô niku txiketile,negative,Negative,oh ok xô niku txiketile,"['oh', 'ok', 'xô', 'niku', 'txiketile']",5
@user wa gwira weni pa,negative,Negative,wa gwira weni pa,"['wa', 'gwira', 'weni', 'pa']",4
@user Va xisati hi kotala avana sapoti wansati hambi loko ari president u tsaka hi kuxaveliwa vatlela vadiziwa. niri la moz,negative,Negative,va xisati hi kotala avana sapoti wansati hambi loko ari president u tsaka hi kuxaveliwa vatlela vadiziwa niri la moz,"['va', 'xisati', 'hi', 'kotala', 'avana', 'sapoti', 'wansati', 'hambi', 'loko', 'ari', 'president', 'u', 'tsaka', 'hi', 'kuxaveliwa', 'vatlela', 'vadiziwa', 'niri', 'la', 'moz']",20
"😹😹😹😹😹 EDM, djoh... Wa hi danissa",negative,Negative,😹😹😹😹😹 edm djoh wa hi danissa,"['😹😹😹😹😹', 'edm', 'djoh', 'wa', 'hi', 'danissa']",6
Wa famba o duwuliwa,negative,Negative,wa famba o duwuliwa,"['wa', 'famba', 'o', 'duwuliwa']",4
@user famba txuta hahaha. 😂,negative,Negative,famba txuta hahaha 😂,"['famba', 'txuta', 'hahaha', '😂']",4
@user @user @user minga valavuli hi @user mbilu ya mina ya vava vahaxi....,negative,Negative,minga valavuli hi mbilu ya mina ya vava vahaxi,"['minga', 'valavuli', 'hi', 'mbilu', 'ya', 'mina', 'ya', 'vava', 'vahaxi']",9
Ihhhhh ih ih ih um perigoso awenaaaaaa,negative,Negative,ihhhhh ih ih ih um perigoso awenaaaaaa,"['ihhhhh', 'ih', 'ih', 'ih', 'um', 'perigoso', 'awenaaaaaa']",7
Wena awu ni tendere nkata '8),negative,Negative,wena awu ni tendere nkata 8,"['wena', 'awu', 'ni', 'tendere', 'nkata', '8']",6
Fissekane ni Barcelona yenu 😂😂😂😂 #HallaMadid 😍😍😍,negative,Negative,fissekane ni barcelona yenu 😂😂😂😂 😍😍😍,"['fissekane', 'ni', 'barcelona', 'yenu', '😂😂😂😂', '😍😍😍']",6
@user Wa Loya wene 😂😂😆 hi tsiki,negative,Negative,wa loya wene 😂😂😆 hi tsiki,"['wa', 'loya', 'wene', '😂😂😆', 'hi', 'tsiki']",6
"@user @user sangula ku switwa, ti vutisa ku va ngave va endle yin xakahle namuthla",negative,Negative,sangula ku switwa ti vutisa ku va ngave va endle yin xakahle namuthla,"['sangula', 'ku', 'switwa', 'ti', 'vutisa', 'ku', 'va', 'ngave', 'va', 'endle', 'yin', 'xakahle', 'namuthla']",13
"@user Niva vonili lavaka mhani ku va xongile swinene. ndlela ya Xai Xai na yona ya penga, na leswa maphorisa loko swiku yimisa swo tirha ro """"no problem, the problem is coca cola"""" 😂😂",negative,Negative,niva vonili lavaka mhani ku va xongile swinene ndlela ya xai xai na yona ya penga na leswa maphorisa loko swiku yimisa swo tirha ro no problem the problem is coca cola 😂😂,"['niva', 'vonili', 'lavaka', 'mhani', 'ku', 'va', 'xongile', 'swinene', 'ndlela', 'ya', 'xai', 'xai', 'na', 'yona', 'ya', 'penga', 'na', 'leswa', 'maphorisa', 'loko', 'swiku', 'yimisa', 'swo', 'tirha', 'ro', 'no', 'problem', 'the', 'problem', 'is', 'coca', 'cola', '😂😂']",33
Aweennn ..Ka hissah.. nem haku sebaa doze,negative,Negative,aweennn ka hissah nem haku sebaa doze,"['aweennn', 'ka', 'hissah', 'nem', 'haku', 'sebaa', 'doze']",7
Ih piki sixti i dii nirmil. Ftsekeee. Maluuuuco,negative,Negative,ih piki sixti i dii nirmil ftsekeee maluuuuco,"['ih', 'piki', 'sixti', 'i', 'dii', 'nirmil', 'ftsekeee', 'maluuuuco']",8
Nada a swi twsisiseke https://t.co/cL7OuSCkJC,negative,Negative,nada a swi twsisiseke,"['nada', 'a', 'swi', 'twsisiseke']",4
@user Tsek wena satan,negative,Negative,tsek wena satan,"['tsek', 'wena', 'satan']",3
Wa yitiva @user wena kumbe hota mbangui loko yi nhiwe himbuti😂😂😂😁😁na we👉 @user 😂😁 @user @user,negative,Negative,wa yitiva wena kumbe hota mbangui loko yi nhiwe himbuti😂😂😂😁😁na we👉 😂😁,"['wa', 'yitiva', 'wena', 'kumbe', 'hota', 'mbangui', 'loko', 'yi', 'nhiwe', 'himbuti😂😂😂😁😁na', 'we👉', '😂😁']",12
"Yeah,Famba a la mierda https://t.co/heAC7D7oC2",negative,Negative,yeahfamba a la mierda,"['yeahfamba', 'a', 'la', 'mierda']",4
Dadinhaz around tha world hani tsikka ka maputo afamba a tshama london,negative,Negative,dadinhaz around tha world hani tsikka ka maputo afamba a tshama london,"['dadinhaz', 'around', 'tha', 'world', 'hani', 'tsikka', 'ka', 'maputo', 'afamba', 'a', 'tshama', 'london']",12
A mbangui mu dzahaka Yowe yowe,negative,Negative,a mbangui mu dzahaka yowe yowe,"['a', 'mbangui', 'mu', 'dzahaka', 'yowe', 'yowe']",6
@user 😭😭 ni caralile boy,negative,Negative,😭😭 ni caralile boy,"['😭😭', 'ni', 'caralile', 'boy']",4
xitombo xa ngwako https://t.co/U46JiZThRL,negative,Negative,xitombo xa ngwako,"['xitombo', 'xa', 'ngwako']",3
Uwani me chamou de marandza ih😭😭😭😂😂😂😂😂,negative,Negative,uwani me chamou de marandza ih😭😭😭😂😂😂😂😂,"['uwani', 'me', 'chamou', 'de', 'marandza', 'ih😭😭😭😂😂😂😂😂']",6
Futseka wena. Famba ti ginha hi xpinhosa https://t.co/ssxYifA5sY,negative,Negative,futseka wena famba ti ginha hi xpinhosa,"['futseka', 'wena', 'famba', 'ti', 'ginha', 'hi', 'xpinhosa']",7
@user Ni ta rendera,negative,Negative,ni ta rendera,"['ni', 'ta', 'rendera']",3
Aah futsek wena https://t.co/quvUb9o7DF,negative,Negative,aah futsek wena,"['aah', 'futsek', 'wena']",3
Xitombo xa nhomphi 🙄😒😂 https://t.co/fPXTRtSpMN,negative,Negative,xitombo xa nhomphi 🙄😒😂,"['xitombo', 'xa', 'nhomphi', '🙄😒😂']",4
@user Xitombo xa wanku,negative,Negative,xitombo xa wanku,"['xitombo', 'xa', 'wanku']",3
A va vassati va loya!,negative,Negative,a va vassati va loya,"['a', 'va', 'vassati', 'va', 'loya']",5
Futseka wena eh https://t.co/TxMaHlRaNU,negative,Negative,futseka wena eh,"['futseka', 'wena', 'eh']",3
@user Amitxino ya barhule yifambisana nitisimu ta yena😂iswo rhuketela hikwaswo @user @user @user @user @user,negative,Negative,amitxino ya barhule yifambisana nitisimu ta yena😂iswo rhuketela hikwaswo,"['amitxino', 'ya', 'barhule', 'yifambisana', 'nitisimu', 'ta', 'yena😂iswo', 'rhuketela', 'hikwaswo']",9
😂😂😂🤣 Wa hlanya wena Kea bona. https://t.co/U7wuu4u964,negative,Negative,😂😂😂🤣 wa hlanya wena kea bona,"['😂😂😂🤣', 'wa', 'hlanya', 'wena', 'kea', 'bona']",6
"@user @user @user @user admitam, mu vha yive nwine.",negative,Negative,admitam mu vha yive nwine,"['admitam', 'mu', 'vha', 'yive', 'nwine']",5
Fisseke wena pah https://t.co/U2SFMyevmu,negative,Negative,fisseke wena pah,"['fisseke', 'wena', 'pah']",3
"#SabedoriaLocal: """"Leswi munga ka swona swi fana ni kuya rhinga Nyanga kumbe ya tirha"""" TI VONELE NGOZI MADALA!!! #nDota! #DálvioMachava!",negative,Negative,leswi munga ka swona swi fana ni kuya rhinga nyanga kumbe ya tirha ti vonele ngozi madala,"['leswi', 'munga', 'ka', 'swona', 'swi', 'fana', 'ni', 'kuya', 'rhinga', 'nyanga', 'kumbe', 'ya', 'tirha', 'ti', 'vonele', 'ngozi', 'madala']",17
Wa hi hemba mane 😪,negative,Negative,wa hi hemba mane 😪,"['wa', 'hi', 'hemba', 'mane', '😪']",5
Maputo ka hisa sorry la,negative,Negative,maputo ka hisa sorry la,"['maputo', 'ka', 'hisa', 'sorry', 'la']",5
@user hahahah u ta rendera,negative,Negative,hahahah u ta rendera,"['hahahah', 'u', 'ta', 'rendera']",4
@user @user Essa noite ? Swa hila,negative,Negative,essa noite swa hila,"['essa', 'noite', 'swa', 'hila']",4
Loku u gwuira ni ta ku tsika 🎶 🕺🏿,negative,Negative,loku u gwuira ni ta ku tsika 🎶 🕺🏿,"['loku', 'u', 'gwuira', 'ni', 'ta', 'ku', 'tsika', '🎶', '🕺🏿']",9
😹😹😹😹😹😹 loku u dlhawa hi precoce 😹😹 https://t.co/0E43GekZkq,negative,Negative,😹😹😹😹😹😹 loku u dlhawa hi precoce 😹😹,"['😹😹😹😹😹😹', 'loku', 'u', 'dlhawa', 'hi', 'precoce', '😹😹']",7
@user @user Aaaaassh wena mani. 😩😩😩😩😩😩😩😰,negative,Negative,aaaaassh wena mani 😩😩😩😩😩😩😩😰,"['aaaaassh', 'wena', 'mani', '😩😩😩😩😩😩😩😰']",4
"RT @user Obama*, ce u dakwile (8)",negative,Negative,rt obama ce u dakwile 8,"['rt', 'obama', 'ce', 'u', 'dakwile', '8']",6
"Niku zwê tititi, a ni ngueni mina ! 👀🙌",negative,Negative,niku zwê tititi a ni ngueni mina 👀🙌,"['niku', 'zwê', 'tititi', 'a', 'ni', 'ngueni', 'mina', '👀🙌']",8
@user lol::&gt;&gt; shii manoo::#slowly:: wa biwa,negative,Negative,lolgtgt shii manoo wa biwa,"['lolgtgt', 'shii', 'manoo', 'wa', 'biwa']",5
Sono.. U kwini,negative,Negative,sono u kwini,"['sono', 'u', 'kwini']",3
"@user Ya mas iiiih, nada 😂😂",negative,Negative,ya mas iiiih nada 😂😂,"['ya', 'mas', 'iiiih', 'nada', '😂😂']",5
Mhunti ya mona @user Soweto-em Casa Chokwe https://t.co/sP1cUADd2f,negative,Negative,mhunti ya mona sowetoem casa chokwe,"['mhunti', 'ya', 'mona', 'sowetoem', 'casa', 'chokwe']",6
Va Tsike bai... https://t.co/YxW9Q56TBL,negative,Negative,va tsike bai,"['va', 'tsike', 'bai']",3
@user utah ni dlaya salubri!!! 1#,negative,Negative,utah ni dlaya salubri 1,"['utah', 'ni', 'dlaya', 'salubri', '1']",5
@user Va delela! Ntlha,negative,Negative,va delela ntlha,"['va', 'delela', 'ntlha']",3
Kasi swa vava ku tsikiwa 😭 @user Cidade De Chokwe https://t.co/1mj906huNj,negative,Negative,kasi swa vava ku tsikiwa 😭 cidade de chokwe,"['kasi', 'swa', 'vava', 'ku', 'tsikiwa', '😭', 'cidade', 'de', 'chokwe']",9
👐 UNI TXOVA YINI 👐,negative,Negative,👐 uni txova yini 👐,"['👐', 'uni', 'txova', 'yini', '👐']",5
@user @user high dj himi kuma kahle hirila Mozambique ka KHUBU hi 92.0 . I ADOLFO MIMBIRE KA KHUBU,negative,Negative,high dj himi kuma kahle hirila mozambique ka khubu hi 920 i adolfo mimbire ka khubu,"['high', 'dj', 'himi', 'kuma', 'kahle', 'hirila', 'mozambique', 'ka', 'khubu', 'hi', '920', 'i', 'adolfo', 'mimbire', 'ka', 'khubu']",16
@user hi nga ribali futhi na mhaka leya Ku dlaya vanhu va ti albino,negative,Negative,hi nga ribali futhi na mhaka leya ku dlaya vanhu va ti albino,"['hi', 'nga', 'ribali', 'futhi', 'na', 'mhaka', 'leya', 'ku', 'dlaya', 'vanhu', 'va', 'ti', 'albino']",13
"Swa vavissa vakithi, ho ondza na vo kuluka...",negative,Negative,swa vavissa vakithi ho ondza na vo kuluka,"['swa', 'vavissa', 'vakithi', 'ho', 'ondza', 'na', 'vo', 'kuluka']",8
"@user @user #Topic i vona hiku na loku mihlangana anipfuxeliwi, niblockiwa ka ti social ntwrk",negative,Negative,i vona hiku na loku mihlangana anipfuxeliwi niblockiwa ka ti social ntwrk,"['i', 'vona', 'hiku', 'na', 'loku', 'mihlangana', 'anipfuxeliwi', 'niblockiwa', 'ka', 'ti', 'social', 'ntwrk']",12
Acula ai = aquilo ali. Mawaku 🙌🏾🙌🏾🙌🏾😂 wa hi danissa juro,negative,Negative,acula ai aquilo ali mawaku 🙌🏾🙌🏾🙌🏾😂 wa hi danissa juro,"['acula', 'ai', 'aquilo', 'ali', 'mawaku', '🙌🏾🙌🏾🙌🏾😂', 'wa', 'hi', 'danissa', 'juro']",10
"Gérdio paaah,pastor,pastor dza ku hini a hi sizi mani ! 😂😂✋",negative,Negative,gérdio paaahpastorpastor dza ku hini a hi sizi mani 😂😂✋,"['gérdio', 'paaahpastorpastor', 'dza', 'ku', 'hini', 'a', 'hi', 'sizi', 'mani', '😂😂✋']",10
@user @user @user #HHW boti unga vileli Xikwembu xita hlayisa sesi vana mbilo ya sathana,negative,Negative,boti unga vileli xikwembu xita hlayisa sesi vana mbilo ya sathana,"['boti', 'unga', 'vileli', 'xikwembu', 'xita', 'hlayisa', 'sesi', 'vana', 'mbilo', 'ya', 'sathana']",11
MMA IH PRIGOZO MANJI 😂😂🙆,negative,Negative,mma ih prigozo manji 😂😂🙆,"['mma', 'ih', 'prigozo', 'manji', '😂😂🙆']",5
U tadla biloko https://t.co/Q4vl8SgWNy,negative,Negative,u tadla biloko,"['u', 'tadla', 'biloko']",3
"@user Munganu leswi swa lhanhelana bha , upimissa swaku o miss universo loku upfuka yuuu uli hansi",negative,Negative,munganu leswi swa lhanhelana bha upimissa swaku o miss universo loku upfuka yuuu uli hansi,"['munganu', 'leswi', 'swa', 'lhanhelana', 'bha', 'upimissa', 'swaku', 'o', 'miss', 'universo', 'loku', 'upfuka', 'yuuu', 'uli', 'hansi']",15
Futsek wena eh https://t.co/ugmvB1cmlz,negative,Negative,futsek wena eh,"['futsek', 'wena', 'eh']",3
"@user: @user AHAHAHAHAHAHA waHidanissaa N**sia :D :D""""oh ih Xixa hahahahhaha",negative,Negative,ahahahahahaha wahidanissaa nsia d doh ih xixa hahahahhaha,"['ahahahahahaha', 'wahidanissaa', 'nsia', 'd', 'doh', 'ih', 'xixa', 'hahahahhaha']",8
"A loko niko hi matilho lo bindza,minengue wo tiya",negative,Negative,a loko niko hi matilho lo bindzaminengue wo tiya,"['a', 'loko', 'niko', 'hi', 'matilho', 'lo', 'bindzaminengue', 'wo', 'tiya']",9
@user HAHAHAHA FUTSEKA WENA...,negative,Negative,hahahaha futseka wena,"['hahahaha', 'futseka', 'wena']",3
Utafa u siya ulombe himaka tinhama https://t.co/SXno6jtQBl,negative,Negative,utafa u siya ulombe himaka tinhama,"['utafa', 'u', 'siya', 'ulombe', 'himaka', 'tinhama']",6
Loku ungali wa mina swa yaswa ussussa mbilo ya mina,negative,Negative,loku ungali wa mina swa yaswa ussussa mbilo ya mina,"['loku', 'ungali', 'wa', 'mina', 'swa', 'yaswa', 'ussussa', 'mbilo', 'ya', 'mina']",10
@user Fvck U Pha🤣,negative,Negative,fvck u pha🤣,"['fvck', 'u', 'pha🤣']",3
Eish vo ni kama ca chapa-.-',negative,Negative,eish vo ni kama ca chapa,"['eish', 'vo', 'ni', 'kama', 'ca', 'chapa']",6
HAHAHAHAHA yu yu yu yu wa hi danissa. https://t.co/G9a4Ycj66e,negative,Negative,hahahahaha yu yu yu yu wa hi danissa,"['hahahahaha', 'yu', 'yu', 'yu', 'yu', 'wa', 'hi', 'danissa']",8
Tsika ku hanha hutomi dza vamwanhane 😊,negative,Negative,tsika ku hanha hutomi dza vamwanhane 😊,"['tsika', 'ku', 'hanha', 'hutomi', 'dza', 'vamwanhane', '😊']",7
"Xtombo xa ngwako oskh’an test us papá, don’t play like that https://t.co/tGXCaQQI9m",negative,Negative,xtombo xa ngwako oskh’an test us papá don’t play like that,"['xtombo', 'xa', 'ngwako', 'oskh’an', 'test', 'us', 'papá', 'don’t', 'play', 'like', 'that']",11
@user 😂😂😂😂😂😂ho va nhenhentsa,negative,Negative,😂😂😂😂😂😂ho va nhenhentsa,"['😂😂😂😂😂😂ho', 'va', 'nhenhentsa']",3
@user Angihambi nawe wathi ngimubi wena,negative,Negative,angihambi nawe wathi ngimubi wena,"['angihambi', 'nawe', 'wathi', 'ngimubi', 'wena']",5
@user @user #HHW Sesi famba uya vonana na papa face to face uhlamusela mhaka ya wena papa va rhelela moya,negative,Negative,sesi famba uya vonana na papa face to face uhlamusela mhaka ya wena papa va rhelela moya,"['sesi', 'famba', 'uya', 'vonana', 'na', 'papa', 'face', 'to', 'face', 'uhlamusela', 'mhaka', 'ya', 'wena', 'papa', 'va', 'rhelela', 'moya']",17
"@user: @user Famba Ti Nhela Nilza . eh eh eh""""",negative,Negative,famba ti nhela nilza eh eh eh,"['famba', 'ti', 'nhela', 'nilza', 'eh', 'eh', 'eh']",7
@user Ali exageram ih,negative,Negative,ali exageram ih,"['ali', 'exageram', 'ih']",3
Ubhema ama drugs wena. https://t.co/s9OmoIx8Qi,negative,Negative,ubhema ama drugs wena,"['ubhema', 'ama', 'drugs', 'wena']",4
Uni endla yini hivu nanga mani nile xokwe 810dstv @user @user @user,negative,Negative,uni endla yini hivu nanga mani nile xokwe 810dstv,"['uni', 'endla', 'yini', 'hivu', 'nanga', 'mani', 'nile', 'xokwe', '810dstv']",9
@user @user @user Wa pupuruka wena.,negative,Negative,wa pupuruka wena,"['wa', 'pupuruka', 'wena']",3
@user @user Hunga kwati vavito 😐😐 Ni dzivalele 😐🙏😂,negative,Negative,hunga kwati vavito 😐😐 ni dzivalele 😐🙏😂,"['hunga', 'kwati', 'vavito', '😐😐', 'ni', 'dzivalele', '😐🙏😂']",7
Nikombela ku etlhela 😢😓,negative,Negative,nikombela ku etlhela 😢😓,"['nikombela', 'ku', 'etlhela', '😢😓']",4
@user F U pah 😂😂😂😂😂,negative,Negative,f u pah 😂😂😂😂😂,"['f', 'u', 'pah', '😂😂😂😂😂']",4
😂 mu randza xwa Mahala https://t.co/zfLAlW8zd5,negative,Negative,😂 mu randza xwa mahala,"['😂', 'mu', 'randza', 'xwa', 'mahala']",5
"@user mina vhahaxi nipfukile ni ndlhua ni teka amungano wamina hitaya ntirweni nimukeme iwa hayo le'lheeeeeee,...😂atwa axirhami katitimela la magude @user @user @user @user @user",negative,Negative,mina vhahaxi nipfukile ni ndlhua ni teka amungano wamina hitaya ntirweni nimukeme iwa hayo lelheeeeeee😂atwa axirhami katitimela la magude,"['mina', 'vhahaxi', 'nipfukile', 'ni', 'ndlhua', 'ni', 'teka', 'amungano', 'wamina', 'hitaya', 'ntirweni', 'nimukeme', 'iwa', 'hayo', 'lelheeeeeee😂atwa', 'axirhami', 'katitimela', 'la', 'magude']",19
Auditoria wa matximba,negative,Negative,auditoria wa matximba,"['auditoria', 'wa', 'matximba']",3
@user @user @user @user @user namina aniswi tivi swaku president mbalula di endle yini,negative,Negative,namina aniswi tivi swaku president mbalula di endle yini,"['namina', 'aniswi', 'tivi', 'swaku', 'president', 'mbalula', 'di', 'endle', 'yini']",9
Famba ti kundza. https://t.co/gLaQ8IrnNk,negative,Negative,famba ti kundza,"['famba', 'ti', 'kundza']",3
Na mina nile ku yingiseleni ka nongonoko lowu wo xonga swonghasi nirila Mozambique ka Khubu njhe @user @user @user @user @user @user,negative,Negative,na mina nile ku yingiseleni ka nongonoko lowu wo xonga swonghasi nirila mozambique ka khubu njhe,"['na', 'mina', 'nile', 'ku', 'yingiseleni', 'ka', 'nongonoko', 'lowu', 'wo', 'xonga', 'swonghasi', 'nirila', 'mozambique', 'ka', 'khubu', 'njhe']",16
Ubakka Va ta zwa ku vava,negative,Negative,ubakka va ta zwa ku vava,"['ubakka', 'va', 'ta', 'zwa', 'ku', 'vava']",6
"A loko wa nuna a baleca wa nsati nambe hele bonita... Xicona, xicona lexi xi balequisaca lueyi wa papa...""""",negative,Negative,a loko wa nuna a baleca wa nsati nambe hele bonita xicona xicona lexi xi balequisaca lueyi wa papa,"['a', 'loko', 'wa', 'nuna', 'a', 'baleca', 'wa', 'nsati', 'nambe', 'hele', 'bonita', 'xicona', 'xicona', 'lexi', 'xi', 'balequisaca', 'lueyi', 'wa', 'papa']",19
Wena u txela mate.,negative,Negative,wena u txela mate,"['wena', 'u', 'txela', 'mate']",4
Hahaha ka dlala...🤦🏾‍♂️ https://t.co/OpGPm9O5Sj,negative,Negative,hahaha ka dlala🤦🏾‍♂️,"['hahaha', 'ka', 'dlala🤦🏾\u200d♂️']",3
"@user @user @user @user @user Kalhe kalhe loko mahari kona nwina akutleleki,aku humeki,aku fambeki,aku tirheki aku endleki ntxumu loko nwina mahari la yotsama hi yingisela muze mufamba",negative,Negative,kalhe kalhe loko mahari kona nwina akutlelekiaku humekiaku fambekiaku tirheki aku endleki ntxumu loko nwina mahari la yotsama hi yingisela muze mufamba,"['kalhe', 'kalhe', 'loko', 'mahari', 'kona', 'nwina', 'akutlelekiaku', 'humekiaku', 'fambekiaku', 'tirheki', 'aku', 'endleki', 'ntxumu', 'loko', 'nwina', 'mahari', 'la', 'yotsama', 'hi', 'yingisela', 'muze', 'mufamba']",22
@user heeee wenna ni tsiki,negative,Negative,heeee wenna ni tsiki,"['heeee', 'wenna', 'ni', 'tsiki']",4
@user U kundzekiwile bai.,negative,Negative,u kundzekiwile bai,"['u', 'kundzekiwile', 'bai']",3
"Eh, eh, eh. Ni livrari https://t.co/x5EZDa2bZ4",negative,Negative,eh eh eh ni livrari,"['eh', 'eh', 'eh', 'ni', 'livrari']",5
@user Ntaku Greeka wena,negative,Negative,ntaku greeka wena,"['ntaku', 'greeka', 'wena']",3
@user @user @user se buti Brian nwana wa hale ka hina u kahle ngopfu ka ku khenya xi Portuguese @user,negative,Negative,se buti brian nwana wa hale ka hina u kahle ngopfu ka ku khenya xi portuguese,"['se', 'buti', 'brian', 'nwana', 'wa', 'hale', 'ka', 'hina', 'u', 'kahle', 'ngopfu', 'ka', 'ku', 'khenya', 'xi', 'portuguese']",16
Edjô ' Aloko niku (%#%€&amp;%##) ni biwa hi Zululuane 🙌,negative,Negative,edjô aloko niku €amp ni biwa hi zululuane 🙌,"['edjô', 'aloko', 'niku', '€amp', 'ni', 'biwa', 'hi', 'zululuane', '🙌']",9
Famba te kundza PAH.. Hahahahahahahahah https://t.co/k54UcyBZ7r,negative,Negative,famba te kundza pah hahahahahahahahah,"['famba', 'te', 'kundza', 'pah', 'hahahahahahahahah']",5
"@user rixile he skhokho, mina niku kuma hi app yinwani hambi leswi yi pfaku yi tsema tsema nina nwina nirila Mozambique ka Ncai-Ncai hi ntirho. @user",negative,Negative,rixile he skhokho mina niku kuma hi app yinwani hambi leswi yi pfaku yi tsema tsema nina nwina nirila mozambique ka ncaincai hi ntirho,"['rixile', 'he', 'skhokho', 'mina', 'niku', 'kuma', 'hi', 'app', 'yinwani', 'hambi', 'leswi', 'yi', 'pfaku', 'yi', 'tsema', 'tsema', 'nina', 'nwina', 'nirila', 'mozambique', 'ka', 'ncaincai', 'hi', 'ntirho']",24
A nuna wa wena i malandro,negative,Negative,a nuna wa wena i malandro,"['a', 'nuna', 'wa', 'wena', 'i', 'malandro']",6
Fambane mi te kundza nwine ok ? Estudos swa kho vha hambi ka kehele dza mani??? https://t.co/OkPURN3h43,negative,Negative,fambane mi te kundza nwine ok estudos swa kho vha hambi ka kehele dza mani,"['fambane', 'mi', 'te', 'kundza', 'nwine', 'ok', 'estudos', 'swa', 'kho', 'vha', 'hambi', 'ka', 'kehele', 'dza', 'mani']",15
Nheeee ni tsike https://t.co/LHAxp8AyED,negative,Negative,nheeee ni tsike,"['nheeee', 'ni', 'tsike']",3
deve nikuh loya XA loya,negative,Negative,deve nikuh loya xa loya,"['deve', 'nikuh', 'loya', 'xa', 'loya']",5
