sentence,Final_Label,predict_name,cleaned_sentence,tokens
@user @user ware mogolo o irile jang ,negative,Setswana,ware mogolo o irile jang,"['ware', 'mogolo', 'o', 'irile', 'jang']"
ke eleditse a phone call hela e serious the one that makes you blush smile laugh o kreya o sa itse gore o eme ka maoto or o nne fatshe and no not from a woman from a man hela o kodu ya bo barry white ,positive,Setswana,ke eleditse a phone call hela e serious the one that makes you blush smile laugh o kreya o sa itse gore o eme ka maoto or o nne fatshe and no not from a woman from a man hela o kodu ya bo barry white,"['ke', 'eleditse', 'a', 'phone', 'call', 'hela', 'e', 'serious', 'the', 'one', 'that', 'makes', 'you', 'blush', 'smile', 'laugh', 'o', 'kreya', 'o', 'sa', 'itse', 'gore', 'o', 'eme', 'ka', 'maoto', 'or', 'o', 'nne', 'fatshe', 'and', 'no', 'not', 'from', 'a', 'woman', 'from', 'a', 'man', 'hela', 'o', 'kodu', 'ya', 'bo', 'barry', 'white']"
@user ba eleng manaba a gago ge ba e bona mehlolo e diega go wena ba lwala ,negative,Setswana,ba eleng manaba a gago ge ba e bona mehlolo e diega go wena ba lwala,"['ba', 'eleng', 'manaba', 'a', 'gago', 'ge', 'ba', 'e', 'bona', 'mehlolo', 'e', 'diega', 'go', 'wena', 'ba', 'lwala']"
@user ausi weee ke dilo ts mahatshe a kgakala ,neutral,Setswana,ausi weee ke dilo ts mahatshe a kgakala,"['ausi', 'weee', 'ke', 'dilo', 'ts', 'mahatshe', 'a', 'kgakala']"
@user heta jaana,neutral,Setswana,heta jaana,"['heta', 'jaana']"
@user o tsogile sentle mogatsaka ,neutral,Setswana,o tsogile sentle mogatsaka,"['o', 'tsogile', 'sentle', 'mogatsaka']"
@user national anthem e bula a bo e rslwa btv le r1 that s 4 times in a day on radio there s games letsile got gold maloba go ne ga opelwa national anthem he vp mps kgotla meetings it easily gets to those nunbers,negative,Setswana,national anthem e bula a bo e rslwa btv le r that s times in a day on radio there s games letsile got gold maloba go ne ga opelwa national anthem he vp mps kgotla meetings it easily gets to those nunbers,"['national', 'anthem', 'e', 'bula', 'a', 'bo', 'e', 'rslwa', 'btv', 'le', 'r', 'that', 's', 'times', 'in', 'a', 'day', 'on', 'radio', 'there', 's', 'games', 'letsile', 'got', 'gold', 'maloba', 'go', 'ne', 'ga', 'opelwa', 'national', 'anthem', 'he', 'vp', 'mps', 'kgotla', 'meetings', 'it', 'easily', 'gets', 'to', 'those', 'nunbers']"
@user bopha khomreyidi bopha ,positive,Setswana,bopha khomreyidi bopha,"['bopha', 'khomreyidi', 'bopha']"
@user he banna kea hopola nkila teana le wena u na le ntate ke u thabetse oa nsheba feela athe u no nkoatetse ho se tsebe ke lefu la khoho ,negative,Setswana,he banna kea hopola nkila teana le wena u na le ntate ke u thabetse oa nsheba feela athe u no nkoatetse ho se tsebe ke lefu la khoho,"['he', 'banna', 'kea', 'hopola', 'nkila', 'teana', 'le', 'wena', 'u', 'na', 'le', 'ntate', 'ke', 'u', 'thabetse', 'oa', 'nsheba', 'feela', 'athe', 'u', 'no', 'nkoatetse', 'ho', 'se', 'tsebe', 'ke', 'lefu', 'la', 'khoho']"
@user tshwanetse o mpinele siyabonga gobela,neutral,Setswana,tshwanetse o mpinele siyabonga gobela,"['tshwanetse', 'o', 'mpinele', 'siyabonga', 'gobela']"
@user @user aaiy malume o re bolaile spice it up ka video clip assomblief ,positive,Setswana,aaiy malume o re bolaile spice it up ka video clip assomblief,"['aaiy', 'malume', 'o', 're', 'bolaile', 'spice', 'it', 'up', 'ka', 'video', 'clip', 'assomblief']"
@user nnyaa mme kea thaloganya a necessary evil at the time ,negative,Setswana,nnyaa mme kea thaloganya a necessary evil at the time,"['nnyaa', 'mme', 'kea', 'thaloganya', 'a', 'necessary', 'evil', 'at', 'the', 'time']"
@user pres rra ga re itse ko a leng teng vp ene o ile drc,negative,Setswana,pres rra ga re itse ko a leng teng vp ene o ile drc,"['pres', 'rra', 'ga', 're', 'itse', 'ko', 'a', 'leng', 'teng', 'vp', 'ene', 'o', 'ile', 'drc']"
maloba ke bone nonofho molefhi a itsamaela ka matshelonyana ha cbd such a humble man ,positive,Setswana,maloba ke bone nonofho molefhi a itsamaela ka matshelonyana ha cbd such a humble man,"['maloba', 'ke', 'bone', 'nonofho', 'molefhi', 'a', 'itsamaela', 'ka', 'matshelonyana', 'ha', 'cbd', 'such', 'a', 'humble', 'man']"
@user hermes tlebe a ntsha ke di ninja tse 5 that day o ganella kamo ntlung the day they face nomination gokasebe monate,positive,Setswana,hermes tlebe a ntsha ke di ninja tse that day o ganella kamo ntlung the day they face nomination gokasebe monate,"['hermes', 'tlebe', 'a', 'ntsha', 'ke', 'di', 'ninja', 'tse', 'that', 'day', 'o', 'ganella', 'kamo', 'ntlung', 'the', 'day', 'they', 'face', 'nomination', 'gokasebe', 'monate']"
@user o senya puo ekare you re not a writer ,negative,Setswana,o senya puo ekare you re not a writer,"['o', 'senya', 'puo', 'ekare', 'you', 're', 'not', 'a', 'writer']"
@user phoso ya ntlha,neutral,Setswana,phoso ya ntlha,"['phoso', 'ya', 'ntlha']"
@user ga o nthumula ke ntsha di file ,positive,Setswana,ga o nthumula ke ntsha di file,"['ga', 'o', 'nthumula', 'ke', 'ntsha', 'di', 'file']"
@user mara lena ka gore le basadi baka lefa nna lego re nwesha aba re nwesha,negative,Setswana,mara lena ka gore le basadi baka lefa nna lego re nwesha aba re nwesha,"['mara', 'lena', 'ka', 'gore', 'le', 'basadi', 'baka', 'lefa', 'nna', 'lego', 're', 'nwesha', 'aba', 're', 'nwesha']"
@user dumela ntate ,positive,Setswana,dumela ntate,"['dumela', 'ntate']"
@user ee re teng ,positive,Setswana,ee re teng,"['ee', 're', 'teng']"
@user @user motseleng kere ko kopana lwena mos ,positive,Setswana,motseleng kere ko kopana lwena mos,"['motseleng', 'kere', 'ko', 'kopana', 'lwena', 'mos']"
even if la jewa go siame ,neutral,Setswana,even if la jewa go siame,"['even', 'if', 'la', 'jewa', 'go', 'siame']"
@user o nap a jang o ntse o le fa ,positive,Setswana,o nap a jang o ntse o le fa,"['o', 'nap', 'a', 'jang', 'o', 'ntse', 'o', 'le', 'fa']"
@user re lokela ho fumana mokhoa oa ho hlaolela manyalo hoba hangata li fihla ho akhente e le late,negative,Setswana,re lokela ho fumana mokhoa oa ho hlaolela manyalo hoba hangata li fihla ho akhente e le late,"['re', 'lokela', 'ho', 'fumana', 'mokhoa', 'oa', 'ho', 'hlaolela', 'manyalo', 'hoba', 'hangata', 'li', 'fihla', 'ho', 'akhente', 'e', 'le', 'late']"
@user kamo phefo eno mela out of the green,neutral,Setswana,kamo phefo eno mela out of the green,"['kamo', 'phefo', 'eno', 'mela', 'out', 'of', 'the', 'green']"
@user nna sala ke buile gre go tshela wena ,positive,Setswana,nna sala ke buile gre go tshela wena,"['nna', 'sala', 'ke', 'buile', 'gre', 'go', 'tshela', 'wena']"
le go tshega go a pala ,positive,Setswana,le go tshega go a pala,"['le', 'go', 'tshega', 'go', 'a', 'pala']"
@user waa simolola,neutral,Setswana,waa simolola,"['waa', 'simolola']"
@user mame o botlhokwa on my timeline ,neutral,Setswana,mame o botlhokwa on my timeline,"['mame', 'o', 'botlhokwa', 'on', 'my', 'timeline']"
@user bathong malome ga a itse go buiwa ka ene ka sekgoa in another group ,positive,Setswana,bathong malome ga a itse go buiwa ka ene ka sekgoa in another group,"['bathong', 'malome', 'ga', 'a', 'itse', 'go', 'buiwa', 'ka', 'ene', 'ka', 'sekgoa', 'in', 'another', 'group']"
@user nyaa wa tsena hela sentle waitse ,negative,Setswana,nyaa wa tsena hela sentle waitse,"['nyaa', 'wa', 'tsena', 'hela', 'sentle', 'waitse']"
motho ago letse phakela are nne oreng bosigo kante lona ganke le tagiwa ,neutral,Setswana,motho ago letse phakela are nne oreng bosigo kante lona ganke le tagiwa,"['motho', 'ago', 'letse', 'phakela', 'are', 'nne', 'oreng', 'bosigo', 'kante', 'lona', 'ganke', 'le', 'tagiwa']"
@user some of ba group 4 setse re tlhaga reduction ya this morning so please don t phinda us,negative,Setswana,some of ba group setse re tlhaga reduction ya this morning so please don t phinda us,"['some', 'of', 'ba', 'group', 'setse', 're', 'tlhaga', 'reduction', 'ya', 'this', 'morning', 'so', 'please', 'don', 't', 'phinda', 'us']"
aa mme motho ene o tshwantse go nna le bo more than 5 years asa lle like cry cry nna gompieno ekare nka thunya ka sello mann ae fok re imetswe ,negative,Setswana,aa mme motho ene o tshwantse go nna le bo more than years asa lle like cry cry nna gompieno ekare nka thunya ka sello mann ae fok re imetswe,"['aa', 'mme', 'motho', 'ene', 'o', 'tshwantse', 'go', 'nna', 'le', 'bo', 'more', 'than', 'years', 'asa', 'lle', 'like', 'cry', 'cry', 'nna', 'gompieno', 'ekare', 'nka', 'thunya', 'ka', 'sello', 'mann', 'ae', 'fok', 're', 'imetswe']"
@user goriana kile wa e tshameka ,positive,Setswana,goriana kile wa e tshameka,"['goriana', 'kile', 'wa', 'e', 'tshameka']"
kgang e ya fave ee mo zanting ga e nchwa mo tlng,negative,Setswana,kgang e ya fave ee mo zanting ga e nchwa mo tlng,"['kgang', 'e', 'ya', 'fave', 'ee', 'mo', 'zanting', 'ga', 'e', 'nchwa', 'mo', 'tlng']"
@user ke kwadile another response ke rialo ba tetse mosi wa dikgong bao,negative,Setswana,ke kwadile another response ke rialo ba tetse mosi wa dikgong bao,"['ke', 'kwadile', 'another', 'response', 'ke', 'rialo', 'ba', 'tetse', 'mosi', 'wa', 'dikgong', 'bao']"
@user maybe ketla topa topanyana something ko teng ,neutral,Setswana,maybe ketla topa topanyana something ko teng,"['maybe', 'ketla', 'topa', 'topanyana', 'something', 'ko', 'teng']"
@user re ta bua jang le batho lere poster ,positive,Setswana,re ta bua jang le batho lere poster,"['re', 'ta', 'bua', 'jang', 'le', 'batho', 'lere', 'poster']"
we didn t get eat the pizza maloba so today we feast greasy pizza triple extra cheese,negative,Setswana,we didn t get eat the pizza maloba so today we feast greasy pizza triple extra cheese,"['we', 'didn', 't', 'get', 'eat', 'the', 'pizza', 'maloba', 'so', 'today', 'we', 'feast', 'greasy', 'pizza', 'triple', 'extra', 'cheese']"
@user @user @user ausi lieketseng tjhehe o manganga ausi waka mare hee o kgona ho tshehetsa ntlha kemo ya hao ,negative,Setswana,ausi lieketseng tjhehe o manganga ausi waka mare hee o kgona ho tshehetsa ntlha kemo ya hao,"['ausi', 'lieketseng', 'tjhehe', 'o', 'manganga', 'ausi', 'waka', 'mare', 'hee', 'o', 'kgona', 'ho', 'tshehetsa', 'ntlha', 'kemo', 'ya', 'hao']"
@user king simakade the throne suits him not sekebekwa sela se segolo setlogolo sa ko swatseng ba reng ke prince misuzulu,positive,Setswana,king simakade the throne suits him not sekebekwa sela se segolo setlogolo sa ko swatseng ba reng ke prince misuzulu,"['king', 'simakade', 'the', 'throne', 'suits', 'him', 'not', 'sekebekwa', 'sela', 'se', 'segolo', 'setlogolo', 'sa', 'ko', 'swatseng', 'ba', 'reng', 'ke', 'prince', 'misuzulu']"
@user @user nna tota i have a weak heart tota training tsame ke bo yoga and pilates hela jaana,positive,Setswana,nna tota i have a weak heart tota training tsame ke bo yoga and pilates hela jaana,"['nna', 'tota', 'i', 'have', 'a', 'weak', 'heart', 'tota', 'training', 'tsame', 'ke', 'bo', 'yoga', 'and', 'pilates', 'hela', 'jaana']"
@user e botlhoko ,positive,Setswana,e botlhoko,"['e', 'botlhoko']"
@user e alole ga ise e tsamaele kgakala,negative,Setswana,e alole ga ise e tsamaele kgakala,"['e', 'alole', 'ga', 'ise', 'e', 'tsamaele', 'kgakala']"
@user @user le monko gives me a headache ke ipotsa ba ba e nwang bone,negative,Setswana,le monko gives me a headache ke ipotsa ba ba e nwang bone,"['le', 'monko', 'gives', 'me', 'a', 'headache', 'ke', 'ipotsa', 'ba', 'ba', 'e', 'nwang', 'bone']"
yaba le nthonkga pelo ka hopola modi ntate empa hare thakgoweng @user @user @user @user,neutral,Setswana,yaba le nthonkga pelo ka hopola modi ntate empa hare thakgoweng,"['yaba', 'le', 'nthonkga', 'pelo', 'ka', 'hopola', 'modi', 'ntate', 'empa', 'hare', 'thakgoweng']"
@user bao ba fihla bo mohammed lebo matenas wadiyobis ,negative,Setswana,bao ba fihla bo mohammed lebo matenas wadiyobis,"['bao', 'ba', 'fihla', 'bo', 'mohammed', 'lebo', 'matenas', 'wadiyobis']"
@user @user @user ke twitter papa teng ,neutral,Setswana,ke twitter papa teng,"['ke', 'twitter', 'papa', 'teng']"
@user @user @user okay geh ke le illuminati o kopana le beyonce masigo ,negative,Setswana,okay geh ke le illuminati o kopana le beyonce masigo,"['okay', 'geh', 'ke', 'le', 'illuminati', 'o', 'kopana', 'le', 'beyonce', 'masigo']"
@user phakela izinjaaa maan ,neutral,Setswana,phakela izinjaaa maan,"['phakela', 'izinjaaa', 'maan']"
@user nka tshega gore ,neutral,Setswana,nka tshega gore,"['nka', 'tshega', 'gore']"
@user ke ka thoka jang go go gopala o le koo ke le kwano,neutral,Setswana,ke ka thoka jang go go gopala o le koo ke le kwano,"['ke', 'ka', 'thoka', 'jang', 'go', 'go', 'gopala', 'o', 'le', 'koo', 'ke', 'le', 'kwano']"
@user we had same ka bo 6 kwa ke gona o jang ,positive,Setswana,we had same ka bo kwa ke gona o jang,"['we', 'had', 'same', 'ka', 'bo', 'kwa', 'ke', 'gona', 'o', 'jang']"
@user sorry foo rraetsho araba phone ,negative,Setswana,sorry foo rraetsho araba phone,"['sorry', 'foo', 'rraetsho', 'araba', 'phone']"
i m glad ba ntsha buhle if that s the case ,positive,Setswana,i m glad ba ntsha buhle if that s the case,"['i', 'm', 'glad', 'ba', 'ntsha', 'buhle', 'if', 'that', 's', 'the', 'case']"
a ijelwa botlhoko yaana mxm ,neutral,Setswana,a ijelwa botlhoko yaana mxm,"['a', 'ijelwa', 'botlhoko', 'yaana', 'mxm']"
ntate o mong ai bambisa rona at kapitos the embarrassment to cut the story short we asked the owner to remove him from our table mhlang ana welletsa 18 emoyyeni i lost it,negative,Setswana,ntate o mong ai bambisa rona at kapitos the embarrassment to cut the story short we asked the owner to remove him from our table mhlang ana welletsa emoyyeni i lost it,"['ntate', 'o', 'mong', 'ai', 'bambisa', 'rona', 'at', 'kapitos', 'the', 'embarrassment', 'to', 'cut', 'the', 'story', 'short', 'we', 'asked', 'the', 'owner', 'to', 'remove', 'him', 'from', 'our', 'table', 'mhlang', 'ana', 'welletsa', 'emoyyeni', 'i', 'lost', 'it']"
ba bonwa ko bobirwa tswang hela mo banneng ba ba sa toleleng dibete ka kwaa segolo yang ba mochudi ,positive,Setswana,ba bonwa ko bobirwa tswang hela mo banneng ba ba sa toleleng dibete ka kwaa segolo yang ba mochudi,"['ba', 'bonwa', 'ko', 'bobirwa', 'tswang', 'hela', 'mo', 'banneng', 'ba', 'ba', 'sa', 'toleleng', 'dibete', 'ka', 'kwaa', 'segolo', 'yang', 'ba', 'mochudi']"
@user ka rialo wa rra ,positive,Setswana,ka rialo wa rra,"['ka', 'rialo', 'wa', 'rra']"
@user gore ke mang gase kgang,positive,Setswana,gore ke mang gase kgang,"['gore', 'ke', 'mang', 'gase', 'kgang']"
@user tshele kgosi tlogela tshele please ,positive,Setswana,tshele kgosi tlogela tshele please,"['tshele', 'kgosi', 'tlogela', 'tshele', 'please']"
this man better not pull a kealeboga gift mogapi on us ,negative,Setswana,this man better not pull a kealeboga gift mogapi on us,"['this', 'man', 'better', 'not', 'pull', 'a', 'kealeboga', 'gift', 'mogapi', 'on', 'us']"
@user hahahaha i understand ka10 ke betsa the second skafthini,neutral,Setswana,hahahaha i understand ka ke betsa the second skafthini,"['hahahaha', 'i', 'understand', 'ka', 'ke', 'betsa', 'the', 'second', 'skafthini']"
nna a ke nyake go bolela maaka @user is a fave o tla tshega everyday whilst working with this one ,negative,Setswana,nna a ke nyake go bolela maaka is a fave o tla tshega everyday whilst working with this one,"['nna', 'a', 'ke', 'nyake', 'go', 'bolela', 'maaka', 'is', 'a', 'fave', 'o', 'tla', 'tshega', 'everyday', 'whilst', 'working', 'with', 'this', 'one']"
why do dads always have skewed solutions to problems mara we have a 20 something yr old dish washer which seems to be bought for ambiance i say to my dad papa weitsi nna sesepa sa dikotlele seng keja matsogo does he not say o etswa ke gore o tshela sesepa se se ntsi ,negative,Setswana,why do dads always have skewed solutions to problems mara we have a something yr old dish washer which seems to be bought for ambiance i say to my dad papa weitsi nna sesepa sa dikotlele seng keja matsogo does he not say o etswa ke gore o tshela sesepa se se ntsi,"['why', 'do', 'dads', 'always', 'have', 'skewed', 'solutions', 'to', 'problems', 'mara', 'we', 'have', 'a', 'something', 'yr', 'old', 'dish', 'washer', 'which', 'seems', 'to', 'be', 'bought', 'for', 'ambiance', 'i', 'say', 'to', 'my', 'dad', 'papa', 'weitsi', 'nna', 'sesepa', 'sa', 'dikotlele', 'seng', 'keja', 'matsogo', 'does', 'he', 'not', 'say', 'o', 'etswa', 'ke', 'gore', 'o', 'tshela', 'sesepa', 'se', 'se', 'ntsi']"
@user nnang ,neutral,Setswana,nnang,['nnang']
@user phangi phangi @user re shebile ka pelo tse bohloko 4nil e thata,negative,Setswana,phangi phangi re shebile ka pelo tse bohloko nil e thata,"['phangi', 'phangi', 're', 'shebile', 'ka', 'pelo', 'tse', 'bohloko', 'nil', 'e', 'thata']"
@user ke lebile hela jaana,neutral,Setswana,ke lebile hela jaana,"['ke', 'lebile', 'hela', 'jaana']"
 le mo nositseng phakela ,negative,Setswana,le mo nositseng phakela,"['le', 'mo', 'nositseng', 'phakela']"
@user ah patel e teng mos ,negative,Setswana,ah patel e teng mos,"['ah', 'patel', 'e', 'teng', 'mos']"
@user a gobe bjalo ntate kwena morena ke kgoshi,neutral,Setswana,a gobe bjalo ntate kwena morena ke kgoshi,"['a', 'gobe', 'bjalo', 'ntate', 'kwena', 'morena', 'ke', 'kgoshi']"
@user ke ene a jang marapo a nama ,neutral,Setswana,ke ene a jang marapo a nama,"['ke', 'ene', 'a', 'jang', 'marapo', 'a', 'nama']"
@user pls o ta palama plane ka dipoto ,neutral,Setswana,pls o ta palama plane ka dipoto,"['pls', 'o', 'ta', 'palama', 'plane', 'ka', 'dipoto']"
@user yoh ke lapile ke go araba,negative,Setswana,yoh ke lapile ke go araba,"['yoh', 'ke', 'lapile', 'ke', 'go', 'araba']"
@user ke a go rata tsala autlwa sa mpuise thata,negative,Setswana,ke a go rata tsala autlwa sa mpuise thata,"['ke', 'a', 'go', 'rata', 'tsala', 'autlwa', 'sa', 'mpuise', 'thata']"
@user yerr wena ophela o bitter towards eff keng bao timile poso naa yerrr,negative,Setswana,yerr wena ophela o bitter towards eff keng bao timile poso naa yerrr,"['yerr', 'wena', 'ophela', 'o', 'bitter', 'towards', 'eff', 'keng', 'bao', 'timile', 'poso', 'naa', 'yerrr']"
@user ditapole ,neutral,Setswana,ditapole,['ditapole']
@user kile ra bereka botlhoko it s honestly better this side ,positive,Setswana,kile ra bereka botlhoko it s honestly better this side,"['kile', 'ra', 'bereka', 'botlhoko', 'it', 's', 'honestly', 'better', 'this', 'side']"
@user ee go tlhokomela mmele zwii group work we need to pass,neutral,Setswana,ee go tlhokomela mmele zwii group work we need to pass,"['ee', 'go', 'tlhokomela', 'mmele', 'zwii', 'group', 'work', 'we', 'need', 'to', 'pass']"
@user go lebega ese selo sese siameng re tla swa kana,neutral,Setswana,go lebega ese selo sese siameng re tla swa kana,"['go', 'lebega', 'ese', 'selo', 'sese', 'siameng', 're', 'tla', 'swa', 'kana']"
@user @user @user waste of court resources @user mathata afa,negative,Setswana,waste of court resources mathata afa,"['waste', 'of', 'court', 'resources', 'mathata', 'afa']"
@user re tswa kgakala,neutral,Setswana,re tswa kgakala,"['re', 'tswa', 'kgakala']"
@user o di puo,neutral,Setswana,o di puo,"['o', 'di', 'puo']"
@user @user sale gotwe system e offline maabane phakela le jaana,negative,Setswana,sale gotwe system e offline maabane phakela le jaana,"['sale', 'gotwe', 'system', 'e', 'offline', 'maabane', 'phakela', 'le', 'jaana']"
kopa lere ganeng sentle ladies kego tsaya jaaka abuti waka ke dilo mang tseo ,negative,Setswana,kopa lere ganeng sentle ladies kego tsaya jaaka abuti waka ke dilo mang tseo,"['kopa', 'lere', 'ganeng', 'sentle', 'ladies', 'kego', 'tsaya', 'jaaka', 'abuti', 'waka', 'ke', 'dilo', 'mang', 'tseo']"
@user hello kego a o siame ,neutral,Setswana,hello kego a o siame,"['hello', 'kego', 'a', 'o', 'siame']"
@user i grew up ka kopana le mathata ,negative,Setswana,i grew up ka kopana le mathata,"['i', 'grew', 'up', 'ka', 'kopana', 'le', 'mathata']"
@user nnyaa monna ke batla go goroga ke tshela,positive,Setswana,nnyaa monna ke batla go goroga ke tshela,"['nnyaa', 'monna', 'ke', 'batla', 'go', 'goroga', 'ke', 'tshela']"
@user ga se ke apare warm phefo ile go fet a ka nna ,negative,Setswana,ga se ke apare warm phefo ile go fet a ka nna,"['ga', 'se', 'ke', 'apare', 'warm', 'phefo', 'ile', 'go', 'fet', 'a', 'ka', 'nna']"
@user go thata i know ,positive,Setswana,go thata i know,"['go', 'thata', 'i', 'know']"
@user good morning ka kgang,neutral,Setswana,good morning ka kgang,"['good', 'morning', 'ka', 'kgang']"
@user le ene o siame hela ,positive,Setswana,le ene o siame hela,"['le', 'ene', 'o', 'siame', 'hela']"
@user @user don t be jealous ntate thomas le wena otlo popa one day ,negative,Setswana,don t be jealous ntate thomas le wena otlo popa one day,"['don', 't', 'be', 'jealous', 'ntate', 'thomas', 'le', 'wena', 'otlo', 'popa', 'one', 'day']"
@user @user kana kgang ke yone eo ,neutral,Setswana,kana kgang ke yone eo,"['kana', 'kgang', 'ke', 'yone', 'eo']"
@user bathong tebogo o serious ka kgang eno wow ,neutral,Setswana,bathong tebogo o serious ka kgang eno wow,"['bathong', 'tebogo', 'o', 'serious', 'ka', 'kgang', 'eno', 'wow']"
story se chenchitse jaanong ,positive,Setswana,story se chenchitse jaanong,"['story', 'se', 'chenchitse', 'jaanong']"
@user @user la lwala,neutral,Setswana,la lwala,"['la', 'lwala']"
@user se segolo ke bophelo abuti ka daar ,neutral,Setswana,se segolo ke bophelo abuti ka daar,"['se', 'segolo', 'ke', 'bophelo', 'abuti', 'ka', 'daar']"
@user @user bathong le wena wa tshega while i m pleading your case ,negative,Setswana,bathong le wena wa tshega while i m pleading your case,"['bathong', 'le', 'wena', 'wa', 'tshega', 'while', 'i', 'm', 'pleading', 'your', 'case']"
@user nne kereng kgantele ,positive,Setswana,nne kereng kgantele,"['nne', 'kereng', 'kgantele']"
@user ooh okay nna kana ke gakologelwa bonnie suggesting ati ne ke sa itse ne ba tlhopha,neutral,Setswana,ooh okay nna kana ke gakologelwa bonnie suggesting ati ne ke sa itse ne ba tlhopha,"['ooh', 'okay', 'nna', 'kana', 'ke', 'gakologelwa', 'bonnie', 'suggesting', 'ati', 'ne', 'ke', 'sa', 'itse', 'ne', 'ba', 'tlhopha']"
batho ba ba letsang phakela everything okay with yals at home urghhhh fokk ,negative,Setswana,batho ba ba letsang phakela everything okay with yals at home urghhhh fokk,"['batho', 'ba', 'ba', 'letsang', 'phakela', 'everything', 'okay', 'with', 'yals', 'at', 'home', 'urghhhh', 'fokk']"
ha o kgweetsa koloi ya less than100k o tshela mahala ko caltex ya maruapula everyday from 6-9am ,positive,Setswana,ha o kgweetsa koloi ya less thank o tshela mahala ko caltex ya maruapula everyday from am,"['ha', 'o', 'kgweetsa', 'koloi', 'ya', 'less', 'thank', 'o', 'tshela', 'mahala', 'ko', 'caltex', 'ya', 'maruapula', 'everyday', 'from', 'am']"
ka lwala yho ,negative,Setswana,ka lwala yho,"['ka', 'lwala', 'yho']"
@user nnyaa go tshwana hela mophato agore sepe le nna ke tla dira ditsala tse di ntsha ,positive,Setswana,nnyaa go tshwana hela mophato agore sepe le nna ke tla dira ditsala tse di ntsha,"['nnyaa', 'go', 'tshwana', 'hela', 'mophato', 'agore', 'sepe', 'le', 'nna', 'ke', 'tla', 'dira', 'ditsala', 'tse', 'di', 'ntsha']"
@user everything has just gone up albany wholewheat brown bread from 16-r20 a loaf ho thata banna ,negative,Setswana,everything has just gone up albany wholewheat brown bread from r a loaf ho thata banna,"['everything', 'has', 'just', 'gone', 'up', 'albany', 'wholewheat', 'brown', 'bread', 'from', 'r', 'a', 'loaf', 'ho', 'thata', 'banna']"
ha o apeile chillies sentle o tla sale o utlwa mmele o bulega diphatlha hela otlhe ke ipotsa gore ha nke e aramelwa go thibolola dinko tse di kibaneng ,positive,Setswana,ha o apeile chillies sentle o tla sale o utlwa mmele o bulega diphatlha hela otlhe ke ipotsa gore ha nke e aramelwa go thibolola dinko tse di kibaneng,"['ha', 'o', 'apeile', 'chillies', 'sentle', 'o', 'tla', 'sale', 'o', 'utlwa', 'mmele', 'o', 'bulega', 'diphatlha', 'hela', 'otlhe', 'ke', 'ipotsa', 'gore', 'ha', 'nke', 'e', 'aramelwa', 'go', 'thibolola', 'dinko', 'tse', 'di', 'kibaneng']"
@user @user ah bathong a dt o kile a ipona gore o dirisiwa jang ,positive,Setswana,ah bathong a dt o kile a ipona gore o dirisiwa jang,"['ah', 'bathong', 'a', 'dt', 'o', 'kile', 'a', 'ipona', 'gore', 'o', 'dirisiwa', 'jang']"
@user ke kopa dikuku ,positive,Setswana,ke kopa dikuku,"['ke', 'kopa', 'dikuku']"
pirates fans ba tshwana le moja love157 and khumbulekhaya ba rata taba tsa batho ,positive,Setswana,pirates fans ba tshwana le moja love and khumbulekhaya ba rata taba tsa batho,"['pirates', 'fans', 'ba', 'tshwana', 'le', 'moja', 'love', 'and', 'khumbulekhaya', 'ba', 'rata', 'taba', 'tsa', 'batho']"
@user ho feta mono moetapele billiat ona le ho khoehla ho sa hlokahaleng o lokela hore ka nako tse ling ake setlele joalo ka monna a sireletse bolo eseng ena ea ho lula antse a sulubana ha bolo e fihla ho eena ,negative,Setswana,ho feta mono moetapele billiat ona le ho khoehla ho sa hlokahaleng o lokela hore ka nako tse ling ake setlele joalo ka monna a sireletse bolo eseng ena ea ho lula antse a sulubana ha bolo e fihla ho eena,"['ho', 'feta', 'mono', 'moetapele', 'billiat', 'ona', 'le', 'ho', 'khoehla', 'ho', 'sa', 'hlokahaleng', 'o', 'lokela', 'hore', 'ka', 'nako', 'tse', 'ling', 'ake', 'setlele', 'joalo', 'ka', 'monna', 'a', 'sireletse', 'bolo', 'eseng', 'ena', 'ea', 'ho', 'lula', 'antse', 'a', 'sulubana', 'ha', 'bolo', 'e', 'fihla', 'ho', 'eena']"
the results are evident look at the shoulder definition jaanong ke tlhasela m khaba don t say gao bonale ke meditse ,negative,Setswana,the results are evident look at the shoulder definition jaanong ke tlhasela m khaba don t say gao bonale ke meditse,"['the', 'results', 'are', 'evident', 'look', 'at', 'the', 'shoulder', 'definition', 'jaanong', 'ke', 'tlhasela', 'm', 'khaba', 'don', 't', 'say', 'gao', 'bonale', 'ke', 'meditse']"
@user @user rene re utlwile ka tsa ga morakile ,positive,Setswana,rene re utlwile ka tsa ga morakile,"['rene', 're', 'utlwile', 'ka', 'tsa', 'ga', 'morakile']"
@user banyana ba teng akere ,neutral,Setswana,banyana ba teng akere,"['banyana', 'ba', 'teng', 'akere']"
motho yo ke neng ke tshegisana le ene go bontsha ene a sa tlhole a tshega ,negative,Setswana,motho yo ke neng ke tshegisana le ene go bontsha ene a sa tlhole a tshega,"['motho', 'yo', 'ke', 'neng', 'ke', 'tshegisana', 'le', 'ene', 'go', 'bontsha', 'ene', 'a', 'sa', 'tlhole', 'a', 'tshega']"
